IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:3007::b0f2:d04c:5235,4,4,0.00,180.78,43.86
2606:4700:3004:8326:7ee9:cb8e:bbd4:e774,4,4,0.00,179.41,42.16
2606:4700:3009:ee5c:6e0f:f1cf:6269:c69a,4,4,0.00,180.29,37.33
2606:4700:3007:221c:909f:80d9:9dcc:1805,4,4,0.00,180.69,35.64
2606:4700:3005:9183:4c8b:10d4:87d1:174a,4,4,0.00,181.15,35.51
2606:4700:3008:4eaa:3587:a9cf:fca2:5d0e,4,4,0.00,180.52,34.99
2606:4700:3007:221c:4847:eae9:55a7:17ec,4,4,0.00,180.92,33.25
2606:4700:3003:7f3f:b65c:fe52:df44:6a5b,4,4,0.00,180.58,31.93
2606:4700:3008:6b:5ffc:56b9:1cdc:1da5,4,4,0.00,180.23,31.05
2606:4700:3005:91d6:df20:a7c9:bfc9:4da8,4,4,0.00,179.93,29.57
