IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:3008:ec:627e:5357:6c22:ab39,4,4,0.00,182.73,44.49
2606:4700:3005:bee8:2b62:95e8:5031:25bf,4,4,0.00,183.37,40.58
2606:4700:3005::a3eb:7f65:e6bd,4,4,0.00,183.26,37.90
2606:4700:3003:1cb4:152f:c2e1:ee32:3acc,4,4,0.00,182.08,34.61
2606:4700:3007:3af3:ef7b:2194:89ae:b619,4,4,0.00,183.21,32.75
2606:4700:3007:27:27d7:8dbb:10bb:5fb5,4,4,0.00,181.57,31.34
2606:4700:3003:1cb4:152f:3c2b:d87a:f013,4,4,0.00,183.56,29.30
2606:4700:3010:0:c6:f590:44e7:8a8d,4,4,0.00,183.04,26.73
2606:4700:3010:e847:4645:5958:a823:6313,4,4,0.00,183.60,13.53
2606:4700:3003:1cb4:152f:3c2b:7e93:d184,4,4,0.00,182.44,2.56
